epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,27576.8,0.7027,0.56096,0.01129,0.9255,0.91038,0.95545,0.83466,0.58714,0.41854,0.01132,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,28000.9,0.7001,0.55795,0.0113,0.92614,0.91078,0.95611,0.83497,0.58601,0.41892,0.0113,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28425.1,0.69592,0.55142,0.0112,0.92176,0.91221,0.95625,0.83582,0.58474,0.41884,0.01124,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28848.8,0.69337,0.55029,0.01111,0.92847,0.90856,0.95709,0.83626,0.58564,0.41569,0.01126,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29272.7,0.68544,0.5416,0.01099,0.93606,0.90469,0.95772,0.83752,0.58393,0.4177,0.01124,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29694.1,0.68409,0.53237,0.01096,0.93828,0.90183,0.95773,0.83809,0.58545,0.41699,0.01125,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30116.4,0.67801,0.5327,0.01094,0.93527,0.90737,0.95831,0.83816,0.58579,0.41466,0.01126,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30538.2,0.67701,0.52216,0.01088,0.94525,0.89865,0.95936,0.83961,0.58478,0.41057,0.01123,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,30960.7,0.66832,0.52143,0.01068,0.94208,0.90494,0.95875,0.83882,0.58473,0.41124,0.01122,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31384.4,0.67147,0.52358,0.01072,0.9412,0.90459,0.95963,0.8408,0.58242,0.4122,0.01118,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31808.6,0.66359,0.51298,0.01067,0.93697,0.90362,0.95851,0.84092,0.57886,0.41421,0.0111,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32231.7,0.65706,0.49994,0.01051,0.94267,0.89878,0.95795,0.84063,0.5798,0.41593,0.0111,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32656,0.65088,0.49222,0.01038,0.93651,0.90502,0.95802,0.84039,0.57913,0.41696,0.01107,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,33081.1,0.65224,0.49535,0.0103,0.94197,0.90064,0.95786,0.84016,0.57892,0.41709,0.01107,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33503.5,0.64401,0.48855,0.01029,0.94353,0.89947,0.95855,0.84075,0.57858,0.419,0.01107,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33925.1,0.64259,0.48161,0.01034,0.94655,0.89626,0.95809,0.84116,0.57848,0.41915,0.01107,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34346.9,0.63189,0.47607,0.01013,0.94536,0.89273,0.95797,0.84232,0.57737,0.4201,0.01104,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34768.6,0.62898,0.47028,0.01002,0.94042,0.89795,0.95798,0.843,0.57501,0.4204,0.01098,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,35190.3,0.63024,0.47189,0.01001,0.93729,0.89865,0.9579,0.84336,0.57461,0.42268,0.01097,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35613.1,0.62314,0.46885,0.00993,0.93709,0.90072,0.9585,0.84423,0.57431,0.41999,0.01097,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,36036.9,0.62092,0.45752,0.00999,0.9271,0.90917,0.95828,0.84461,0.57464,0.41781,0.01097,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36458.5,0.61733,0.45718,0.00992,0.92992,0.9097,0.95826,0.84492,0.57351,0.41727,0.01095,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36882.6,0.61482,0.45283,0.0098,0.93302,0.90607,0.95816,0.84534,0.57141,0.41784,0.01092,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,37306.8,0.6083,0.45351,0.00965,0.9341,0.90176,0.95766,0.84533,0.56959,0.41907,0.01088,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37730.5,0.606,0.44564,0.00971,0.93147,0.90515,0.9577,0.84584,0.56843,0.41837,0.01086,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,38154.5,0.60166,0.44532,0.00964,0.93404,0.90634,0.95775,0.84671,0.56636,0.41692,0.01081,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,38577.3,0.46787,0.19488,0.01026,0.93084,0.91012,0.95779,0.84645,0.56627,0.41556,0.01079,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,38999.4,0.45621,0.17964,0.00993,0.92679,0.91269,0.95792,0.84696,0.56455,0.41651,0.01077,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,39420.7,0.44283,0.17396,0.00959,0.93139,0.91,0.95801,0.84762,0.56518,0.41642,0.01077,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,39840.7,0.43768,0.17791,0.00953,0.92827,0.91249,0.95783,0.84746,0.56526,0.41619,0.01076,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,40261.2,0.42864,0.16894,0.00919,0.92672,0.91587,0.95796,0.84835,0.56513,0.41634,0.01076,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,40681.2,0.42753,0.16598,0.00922,0.92731,0.91512,0.9581,0.84839,0.56383,0.41953,0.01072,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,41100.5,0.4198,0.16703,0.00904,0.92758,0.91423,0.95829,0.84757,0.56444,0.41755,0.01074,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,41520,0.41904,0.16474,0.009,0.93458,0.91191,0.95835,0.84793,0.56405,0.41907,0.01073,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,41940,0.41461,0.16347,0.00897,0.93221,0.90903,0.95815,0.84764,0.56511,0.4191,0.01076,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,42360.8,0.40721,0.1612,0.00866,0.93263,0.90854,0.95818,0.8477,0.56436,0.42018,0.01073,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
